date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:18	23900/23900	---M--	200	added ('OK')	font/woff2	date:Tue,%2002%20Aug%202022%2011:28:07%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-regular-400.woff2	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-regular-400.woff2	(from https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css)
21:28:18	104544/104544	---M--	200	added ('OK')	font/woff2	date:Tue,%2002%20Aug%202022%2011:28:04%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-brands-400.woff2	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-brands-400.woff2	(from https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css)
21:28:18	180148/180148	---M--	200	added ('OK')	font/ttf	date:Tue,%2002%20Aug%202022%2011:28:06%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-brands-400.ttf	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-brands-400.ttf	(from https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css)
21:28:20	60380/60380	---M--	200	added ('OK')	font/ttf	date:Tue,%2002%20Aug%202022%2011:28:07%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-regular-400.ttf	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-regular-400.ttf	(from https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css)
21:28:20	126828/126828	---M--	200	added ('OK')	font/woff2	date:Tue,%2002%20Aug%202022%2011:28:08%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-solid-900.woff2	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-solid-900.woff2	(from https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css)
21:28:21	4956/4956	---M--	200	added ('OK')	font/woff2	date:Tue,%2002%20Aug%202022%2011:28:14%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-v4compatibility.woff2	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-v4compatibility.woff2	(from https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css)
21:28:21	10556/10556	---M--	200	added ('OK')	font/ttf	date:Tue,%2002%20Aug%202022%2011:28:11%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-v4compatibility.ttf	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-v4compatibility.ttf	(from https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css)
21:28:21	2674/2674	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202022%2011:25:50%20GMT	https://bookland.dexignzone.com/xhtml/icons/flaticon/font/flaticon.css	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/flaticon/font/flaticon.css	(from https://bookland.dexignzone.com/xhtml/css/style.css)
21:28:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Sep%202024%2018:28:21%20GMT	https://bookland.dexignzone.com/xhtml/images/icon/download-icon2.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/icon/download-icon2.png	(from https://bookland.dexignzone.com/xhtml/css/style.css)
21:28:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Sep%202024%2018:28:21%20GMT	https://bookland.dexignzone.com/xhtml/images/icon/download-icon1.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/icon/download-icon1.png	(from https://bookland.dexignzone.com/xhtml/css/style.css)
21:28:22	7456/7456	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2010:11:24%20GMT	https://bookland.dexignzone.com/xhtml/images/like.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/like.png	(from https://bookland.dexignzone.com/xhtml/css/style.css)
21:28:22	16435/16435	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202022%2011:24:12%20GMT	https://bookland.dexignzone.com/xhtml/icons/themify/themify-icons.css	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/themify/themify-icons.css	(from https://bookland.dexignzone.com/xhtml/wishlist.html)
21:28:23	14964/14964	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:15:00%20GMT	https://bookland.dexignzone.com/xhtml/images/books/grid/book4.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/books/grid/book4.jpg	(from https://bookland.dexignzone.com/xhtml/wishlist.html)
21:28:23	139522/139522	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:53%20GMT	https://bookland.dexignzone.com/xhtml/images/background/bg3.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/background/bg3.jpg	(from https://bookland.dexignzone.com/xhtml/wishlist.html)
21:28:23	303480/303480	---M--	200	added ('OK')	font/ttf	date:Tue,%2002%20Aug%202022%2011:28:38%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-solid-900.ttf	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/icons/fontawesome/webfonts/fa-solid-900.ttf	(from https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css)
21:28:24	9071/9071	---M--	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2011:05:19%20GMT	https://bookland.dexignzone.com/xhtml/vendor/bootstrap-touchspin/bootstrap-touchspin.js	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/vendor/bootstrap-touchspin/bootstrap-touchspin.js	(from https://bookland.dexignzone.com/xhtml/wishlist.html)
21:28:24	2411/2411	---M--	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2011:05:23%20GMT	https://bookland.dexignzone.com/xhtml/vendor/countdown/counter.js	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/vendor/countdown/counter.js	(from https://bookland.dexignzone.com/xhtml/wishlist.html)
21:28:24	6725/6725	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:24%20GMT	https://bookland.dexignzone.com/xhtml/images/profile2.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/profile2.jpg	(from https://bookland.dexignzone.com/xhtml/books-detail.html)
21:28:24	17633/17633	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:27%20GMT	https://bookland.dexignzone.com/xhtml/images/profile4.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/profile4.jpg	(from https://bookland.dexignzone.com/xhtml/books-detail.html)
21:28:25	17491/17491	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:24%20GMT	https://bookland.dexignzone.com/xhtml/images/profile3.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/profile3.jpg	(from https://bookland.dexignzone.com/xhtml/books-detail.html)
21:28:26	870/870	---MC-	200	added ('OK')	text/javascript	date:Thu,%2005%20Sep%202024%2018:28:25%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/Orange/Desktop/last/www.google.com/recaptcha/api.js	(from https://bookland.dexignzone.com/xhtml/contact-us.html)
21:28:26	239110/239110	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:53%20GMT	https://bookland.dexignzone.com/xhtml/images/background/bg2.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/background/bg2.jpg	(from https://bookland.dexignzone.com/xhtml/contact-us.html)
21:28:26	37430/37430	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Aug%202022%2012:37:08%20GMT	https://bookland.dexignzone.com/xhtml/images/background/waveElement2.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/background/waveElement2.png	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:26	37430/37430	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2010:11:57%20GMT	https://bookland.dexignzone.com/xhtml/images/background/waveelement2.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/background/waveelement2-2.png	(from https://bookland.dexignzone.com/xhtml/index-2.html)
